   P1    P2    ST  UNIT       EVAL    RND           MS | UnitType PlayerID CurrentHP XPos YPos
    0     0     0    50     100131    638       890.66 | Protoss_Dragoon 0 140 646 474 | Protoss_Dragoon 0 180 647 472 | Protoss_Dragoon 0 100 628 499 | Protoss_Dragoon 0 180 680 465 | Protoss_Dragoon 0 180 619 509 | Protoss_Dragoon 0 160 632 488 | Protoss_Dragoon 0 180 638 488
    0     0     1    50     100244    523       701.88 | Protoss_Dragoon 0 180 574 312 | Protoss_Dragoon 0 180 585 275 | Protoss_Dragoon 0 180 616 276 | Protoss_Dragoon 0 20 502 282 | Protoss_Dragoon 0 100 637 283 | Protoss_Dragoon 0 120 513 274 | Protoss_Dragoon 0 140 613 303 | Protoss_Dragoon 0 160 576 303 | Protoss_Dragoon 0 160 556 294 | Protoss_Dragoon 0 160 589 305 | Protoss_Dragoon 0 100 586 276 | Protoss_Dragoon 0 160 609 280 | Protoss_Dragoon 0 180 602 289 | Protoss_Dragoon 0 160 618 264
    0     0     2    50     100190    571       911.32 | Protoss_Dragoon 0 180 750 366 | Protoss_Dragoon 0 140 694 332 | Protoss_Dragoon 0 140 756 391 | Protoss_Dragoon 0 140 764 380 | Protoss_Dragoon 0 160 746 376 | Protoss_Dragoon 0 180 746 394 | Protoss_Dragoon 0 40 733 376 | Protoss_Dragoon 0 100 693 326 | Protoss_Dragoon 0 160 756 380 | Protoss_Dragoon 0 120 700 310 | Protoss_Dragoon 0 160 690 305
    0     0     3    50     100186    562       890.04 | Protoss_Dragoon 0 100 530 401 | Protoss_Dragoon 0 140 492 319 | Protoss_Dragoon 0 160 515 377 | Protoss_Dragoon 0 140 479 362 | Protoss_Dragoon 0 180 492 373 | Protoss_Dragoon 0 180 542 379 | Protoss_Dragoon 0 160 502 335 | Protoss_Dragoon 0 180 537 421 | Protoss_Dragoon 0 160 526 408 | Protoss_Dragoon 0 180 521 389
    0     0     4    50     100110    649       884.54 | Protoss_Dragoon 0 120 733 353 | Protoss_Dragoon 0 160 721 348 | Protoss_Dragoon 0 20 702 325 | Protoss_Dragoon 0 160 704 320 | Protoss_Dragoon 0 100 721 337 | Protoss_Dragoon 0 120 752 349 | Protoss_Dragoon 0 160 702 317
    0     0     5    50     100099    639       790.77 | Protoss_Dragoon 0 60 506 448 | Protoss_Dragoon 0 100 545 467 | Protoss_Dragoon 0 120 506 355 | Protoss_Dragoon 0 160 466 238 | Protoss_Dragoon 0 140 503 282 | Protoss_Dragoon 0 180 500 384
    0     0     6    50     100209    535       729.48 | Protoss_Dragoon 0 180 694 399 | Protoss_Dragoon 0 180 743 323 | Protoss_Dragoon 0 60 668 412 | Protoss_Dragoon 0 180 769 293 | Protoss_Dragoon 0 20 751 334 | Protoss_Dragoon 0 180 721 359 | Protoss_Dragoon 0 120 672 457 | Protoss_Dragoon 0 180 710 370 | Protoss_Dragoon 0 140 713 362 | Protoss_Dragoon 0 180 745 343 | Protoss_Dragoon 0 140 734 357 | Protoss_Dragoon 0 180 725 354
    0     0     7    50     100220    512       699.67 | Protoss_Dragoon 0 80 471 480 | Protoss_Dragoon 0 140 519 271 | Protoss_Dragoon 0 160 472 263 | Protoss_Dragoon 0 180 514 327 | Protoss_Dragoon 0 160 501 379 | Protoss_Dragoon 0 180 487 295 | Protoss_Dragoon 0 80 543 270 | Protoss_Dragoon 0 180 519 448 | Protoss_Dragoon 0 180 536 390 | Protoss_Dragoon 0 180 538 394 | Protoss_Dragoon 0 160 482 446 | Protoss_Dragoon 0 180 498 366
    0     0     8    50     100200    562       754.78 | Protoss_Dragoon 0 40 688 482 | Protoss_Dragoon 0 40 773 282 | Protoss_Dragoon 0 160 686 440 | Protoss_Dragoon 0 160 744 323 | Protoss_Dragoon 0 180 744 327 | Protoss_Dragoon 0 160 805 253 | Protoss_Dragoon 0 100 701 367 | Protoss_Dragoon 0 140 731 332 | Protoss_Dragoon 0 160 706 478 | Protoss_Dragoon 0 180 780 307 | Protoss_Dragoon 0 80 788 271 | Protoss_Dragoon 0 180 734 341
    0     0     9    50     100139    588       859.14 | Protoss_Dragoon 0 20 480 381 | Protoss_Dragoon 0 80 519 253 | Protoss_Dragoon 0 40 493 372 | Protoss_Dragoon 0 100 493 363 | Protoss_Dragoon 0 140 467 403 | Protoss_Dragoon 0 180 487 377 | Protoss_Dragoon 0 140 503 368 | Protoss_Dragoon 0 180 498 370 | Protoss_Dragoon 0 180 512 353
